line_name,specimen__id,specimen__name,specimen__hemisphere,structure__id,structure__name,structure__acronym,structure_parent__id,structure_parent__acronym,structure__layer,nr__max_euclidean_distance,nr__number_stems,nr__number_bifurcations,nr__average_contraction,nr__average_parent_daughter_ratio,nr__reconstruction_type,nrwkf__id,erwkf__id,ef__fast_trough_v_long_square,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__f_i_curve_slope,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,si__height,si__width,si__path,csl__x,csl__y,csl__z,csl__normalized_depth,cell_reporter_status,m__glif,m__biophys,m__biophys_perisomatic,m__biophys_all_active,tag__apical,tag__dendrite_type,morph_thumb_path,ephys_thumb_path,ephys_inst_thresh_thumb_path,donor__age,donor__sex,donor__disease_state,donor__race,donor__years_of_seizure_history,donor__species,donor__id,donor__name,,,,
Rbp4-Cre_KL100,515524026,Rbp4-Cre_KL100;Ai14-243058.04.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,629.7145143042,11,21,0.8823511483,0.8957994581,dendrite-only,553511057,562383189,-47.3125,3.4376338145,0.0458341391,0.1897849455,29.9999980927,39.8619819949,89.794,11.1366015547,356.2499582767,2.0236133333,-59.0870780945,9447,7597,/external/mousecelltypes/prod776/specimen_515524026/min_xy_515524026.aff,8823.020176634,1049.7841957124,3535.8048858579,0.6367967896,positive,2,0,0,0,intact,spiny,/api/v2/well_known_file_download/564690938,/api/v2/well_known_file_download/516423547,/api/v2/well_known_file_download/516423549,,,,,,Mus,musculus,515200001,Ntsr1-Cre;Ai14-212354,,,
Rbp4-Cre_KL100,515249852,Rbp4-Cre_KL100;Ai14-243055.04.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,675.317928408,8,55,0.9185848973,0.8145413482,dendrite-only,537042149,544781903,-50.4687538147,2.9557570022,0.0085722064,0.206250011,110,15.289644046,59.995,16.6680556713,128.7861317396,4.0360666667,-74.2342147827,9404,7606,/external/mousecelltypes/prod759/specimen_515249852/min_xy_515249852.aff,8915.7100716551,1480.7661348545,8442.9261055768,0.6033497371,positive,2,0,0,0,intact,spiny,/api/v2/well_known_file_download/541010558,/api/v2/well_known_file_download/516879135,/api/v2/well_known_file_download/516879137,,,,,,Mus,musculus,515199997,571364629,H17.06.005,,
Rbp4-Cre_KL100,490916882,Rbp4-Cre_KL100;Ai14-215300.03.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,606.2060965344,7,79,0.8873345471,0.8480711988,dendrite-only,510979258,496602914,-52.1250038147,3.1600555038,0.0030326778,0.2132588607,80,16.0924509911,62.0013333333,16.1286854046,119.374923408,4.45618,-67.953086853,7585,7585,/external/mousecelltypes/prod572/specimen_490916882/min_xy_490916882.aff,9050,1145.4774568571,3385.8669698188,0.5757953303,positive,2,0,0,0,intact,spiny,/api/v2/well_known_file_download/516477251,/api/v2/well_known_file_download/490923129,/api/v2/well_known_file_download/491761347,,,,,,Mus,musculus,490198920,Ntsr1-Cre;Ai14-235627,,,
Rbp4-Cre_KL100,488683425,Rbp4-Cre_KL100;Ai14-203503.04.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,687.0656322897,9,46,0.8776911539,0.7100678765,dendrite-only,527109147,496602511,-51.9687538147,2.0943282172,0.0032079635,0.2103449072,150,13.6589096926,50.3721052632,19.8522574106,98.3444213867,7.7375366667,-68.2019271851,9428,7574,/external/mousecelltypes/prod571/specimen_488683425/min_xy_488683425.aff,8254.3243776729,937.0454262239,7693.2671796938,0.623544743,positive,2,1,0,1,intact,spiny,/api/v2/well_known_file_download/527111135,/api/v2/well_known_file_download/488684246,/api/v2/well_known_file_download/491765929,,,,,,Mus,musculus,485250259,Vip-IRES-Cre;Ai14-290646,,,
Rbp4-Cre_KL100,487664663,Rbp4-Cre_KL100;Ai14-211531.03.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,701.8394545429,9,45,0.9084327634,0.8357625735,dendrite-only,496085296,496194535,-44.96875,2.9693590104,0.0868781787,0.1365522202,50,16.1776718329,101.5361111111,9.8487128279,118.0803775787,3.4051166667,-68.4131774902,9424,7625,/external/mousecelltypes/prod534/specimen_487664663/min_xy_487664663.aff,8766.931931318,1006.7567158085,7752.4163600395,0.592785931,positive,2,1,1,0,intact,spiny,/api/v2/well_known_file_download/496357063,/api/v2/well_known_file_download/487666297,/api/v2/well_known_file_download/491383908,,,,,,Mus,musculus,487152241,573111445,Pvalb-IRES-Cre;Ai14-304103,,
Rbp4-Cre_KL100,486111903,Rbp4-Cre_KL100;Ai14-205727.03.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,652.8895613762,9,51,0.9019111475,0.8208471943,dendrite-only,500961609,500919192,-43.5000038147,3.9415493054,0.0273018032,0.1689393865,209.9999847412,13.4291785026,98.9194444444,10.1092359103,113.2813245058,5.15021,-69.3053436279,9407,7619,/external/mousecelltypes/prod535/specimen_486111903/min_xy_486111903.aff,8484.2845299313,1018.8238044219,3454.0850367393,0.6023777186,negative,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/501086517,/api/v2/well_known_file_download/486125045,/api/v2/well_known_file_download/491378057,,,,,,Mus,musculus,485955768,Rbp4-Cre_KL100;Ai14-203498,,,
Rbp4-Cre_KL100,486110216,Rbp4-Cre_KL100;Ai14-205727.04.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,648.0688835367,9,17,0.9199519049,0.7718284568,dendrite-only,496085262,496453673,-46.7812538147,2.3932422179,,0.044884492,110,23.5713573041,,,335.9377086163,5.3051375,-65.9088363647,9430,9425,/external/mousecelltypes/prod514/specimen_486110216/min_xy_486110216.aff,8225.4313801297,1141.4124697145,3140.5665916356,0.7053357999,positive,2,1,1,0,intact,spiny,/api/v2/well_known_file_download/501080044,/api/v2/well_known_file_download/486115512,/api/v2/well_known_file_download/491378387,,,,,,Mus,musculus,485955768,Htr3a-Cre_NO152;Ai14(IVSCC)-175477,,,
Rbp4-Cre_KL100,486052980,Rbp4-Cre_KL100;Ai14-205726.03.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,631.9141304433,7,43,0.904450919,0.8192098539,dendrite-only,496001096,496461083,-50.34375,3.5580965198,0.0083711584,0.1679961244,130,10.9784275589,138.005,7.2461142712,85.9374776483,4.3970425,-70.4233016968,9417,5765,/external/mousecelltypes/prod514/specimen_486052980/min_xy_486052980.aff,8580.529184538,946.4325215828,3635.391018039,0.63939032,positive,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/501079804,/api/v2/well_known_file_download/486075842,/api/v2/well_known_file_download/491383080,,,,,,Mus,musculus,485955764,Pvalb-IRES-Cre;Ai14-321032,,,
Rbp4-Cre_KL100,486025194,Rbp4-Cre_KL100;Ai14-205726.04.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,475.7013636548,8,28,0.9160620368,0.9667475821,dendrite-only,514342420,544751908,-47.3125,4.0321708701,0.1935920902,0.0347826105,130,15.4321944902,156.661,6.3832096055,132.1428567171,4.7838633333,-72.100112915,9410,5738,/external/mousecelltypes/prod514/specimen_486025194/min_xy_486025194.aff,8823.9987816886,1102.8814621189,3413.4296109318,0.5169648777,positive,0,0,0,0,intact,spiny,/api/v2/well_known_file_download/544886065,/api/v2/well_known_file_download/486048837,/api/v2/well_known_file_download/491383786,,,,,,Mus,musculus,485955764,Cux2-CreERT2;Ai14-205530,,,
Rbp4-Cre_KL100,485880739,Rbp4-Cre_KL100;Ai14-204745.05.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,595.3453934706,7,42,0.9029348531,0.8725376189,dendrite-only,496001052,491317527,-46.5625038147,3.7168961468,0.0543448402,0.1738764199,120.0000076294,17.6999565475,77.4791666667,12.9066953482,121.5625405312,5.8001866667,-70.8589324951,9408,7574,/external/mousecelltypes/prod506/specimen_485880739/min_xy_485880739.aff,8347.5257510629,1132.3612404307,8251.4731794765,0.5911213351,positive,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/496001252,/api/v2/well_known_file_download/485884707,/api/v2/well_known_file_download/491376368,,,,,,Mus,musculus,485673563,Rorb-IRES2-Cre-D;Ai14-197711,,,
Rbp4-Cre_KL100,485838981,Rbp4-Cre_KL100;Ai14-204744.04.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,599.4633644048,7,62,0.9078769537,0.863328765,dendrite-only,508279022,491316594,-42.8125038147,4.2805741868,0.0484987688,0.1241935466,190,14.0124088272,127.4021428571,7.8491615414,95.6248864532,7.47414,-73.8727722168,9399,7582,/external/mousecelltypes/prod506/specimen_485838981/min_xy_485838981.aff,8822,1277.9722516532,3144.2127725202,0.5446136623,positive,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/508279173,/api/v2/well_known_file_download/485860065,/api/v2/well_known_file_download/491378448,,,,,,Mus,musculus,485673559,Homo,Sapiens,504921484,H16.06.004
Rbp4-Cre_KL100,485835055,Rbp4-Cre_KL100;Ai14-204744.04.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,660.5083219046,14,58,0.9190636952,0.8146427777,dendrite-only,496123899,491316580,-47.3437538147,3.2465301047,0.0168667895,0.1547618982,170,16.2139673128,61.2356666667,16.3303521368,93.75,6.4948,-76.0012969971,11251,9429,/external/mousecelltypes/prod506/specimen_485835055/min_xy_485835055.aff,8918,1381.7735935562,8634.0278317367,0.6447903744,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/496139526,/api/v2/well_known_file_download/485856849,/api/v2/well_known_file_download/491377797,,,,,,Mus,musculus,485673559,Ctgf-2A-dgCre;Ai14(IVSCC)-252904,,,
Rbp4-Cre_KL100,485835016,Rbp4-Cre_KL100;Ai14-204744.03.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,580.9967288834,7,47,0.8819260589,0.7868706535,dendrite-only,496123861,491316896,-43.1875038147,4.4891410803,0.0690320929,0.1322485217,160,15.4935912138,95.628,10.4571882712,90.156249702,6.7392083333,-71.9120330811,7579,11262,/external/mousecelltypes/prod506/specimen_485835016/min_xy_485835016.aff,9353,1590.3257283798,2713.2055524004,0.5494097624,positive,5,0,0,0,intact,spiny,/api/v2/well_known_file_download/496139468,/api/v2/well_known_file_download/485856738,/api/v2/well_known_file_download/491384101,,,,,,Mus,musculus,485673559,527747035,H16.06.008,,
Rbp4-Cre_KL100,485574832,Rbp4-Cre_KL100;Ai14-203498.04.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,577.4033805565,9,44,0.882853384,0.8296369233,dendrite-only,496001063,491316923,-48.4375038147,3.0848607096,0.0019687691,0.1936058683,190,13.2719447786,118.6307142857,8.4295201797,80.3125798702,7.84801,-71.4556655884,9411,7587,/external/mousecelltypes/prod494/specimen_485574832/min_xy_485574832.aff,8580,1005.4721947408,3560.5251012513,0.5233091386,positive,5,2,1,1,intact,spiny,/api/v2/well_known_file_download/496001248,/api/v2/well_known_file_download/485577430,/api/v2/well_known_file_download/491384243,,,,,,Mus,musculus,485250251,Scnn1a-Tg2-Cre;Ai14(IVSCC)-185900,,,
Rbp4-Cre_KL100,485574721,Rbp4-Cre_KL100;Ai14-203498.04.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,523.4544246596,10,47,0.9187925969,0.9139097448,dendrite-only,496085100,491316932,-49.0625,3.660713243,0.0266305931,0.1196428634,110,22.4541160442,100.8083333333,9.9198148301,113.2812574506,6.46112,-77.2494049072,7631,9593,/external/mousecelltypes/prod495/specimen_485574721/min_xy_485574721.aff,8490,1270.7936590859,8537.5139561019,0.4959147696,positive,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/496085390,/api/v2/well_known_file_download/485577548,/api/v2/well_known_file_download/491382037,,,,,,Mus,musculus,485250251,Rorb-IRES2-Cre-D;Ai14-212868,,,
Rbp4-Cre_KL100,479721491,Rbp4-Cre_KL100;Ai14-196624.05.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,439.8648055397,9,45,0.8822336397,0.8372891765,dendrite-only,512328250,491202867,-45,3.9522051522,0.1039141876,0.0683593822,150,20.8820934116,153.395,6.5191173115,125.9375065565,5.6780633333,-78.1010055542,7573,5752,/external/mousecelltypes/prod435/specimen_479721491/min_xy_479721491.aff,8324.2254077154,1113.289016079,3144.9337752834,0.5119709731,positive,5,1,1,0,intact,spiny,/api/v2/well_known_file_download/512328380,/api/v2/well_known_file_download/487622744,/api/v2/well_known_file_download/491376551,,,,,,Mus,musculus,478595246,Ndnf-IRES2-dgCre;Ai14-280611,,,
Rbp4-Cre_KL100,471767045,Rbp4-Cre_KL100;Ai14-180748.02.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,586.8934365158,13,66,0.8752203504,0.8728686816,dendrite-only,491771195,491202904,-42.75,3.6039451917,0.0611329397,0.1440660403,209.9999847412,15.1601907652,127.5614285714,7.8393603082,75.6250023842,7.5629016667,-70.3271865845,7604,7588,/external/mousecelltypes/prod330/specimen_471767045/min_xy_471767045.aff,9489.2425750907,1670.3188350733,2658.9853739812,0.5511215475,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/487660139,/api/v2/well_known_file_download/487621625,/api/v2/well_known_file_download/491377500,,,,,,Mus,musculus,469953301,Rbp4-Cre_KL100;Ai14-203503,,,
Rbp4-Cre_KL100,471758398,Rbp4-Cre_KL100;Ai14-180748.06.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,448.1234602212,7,17,0.8899129618,0.8283336512,dendrite-only,495335438,491202839,-47.6562538147,2.2906380048,,0.0405063291,150,23.6110219254,47.555,21.0282830407,234.6876114607,4.439255,-76.8264770508,9453,7614,/external/mousecelltypes/prod327/specimen_471758398/min_xy_471758398.aff,8067.9216308928,969.7883000831,7807.7476000533,0.7286592798,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/487660473,/api/v2/well_known_file_download/487622576,/api/v2/well_known_file_download/491377744,,,,,,Mus,musculus,469953301,Rorb-IRES2-Cre-D;Ai14(IVSCC)-178211,,,
Rbp4-Cre_KL100,471143169,Rbp4-Cre_KL100;Ai14-180747.06.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,693.8939122272,8,22,0.9019634255,0.8064056155,dendrite-only,492413285,491202669,-48.8437538147,2.8107646052,0.0917128299,0.2081693059,100,25.6384772994,73.97625,13.5178520133,193.2812482119,5.28911,-77.2745437622,11252,9454,/external/mousecelltypes/prod327/specimen_471143169/min_xy_471143169.aff,8161.1230042829,1199.4674515301,3213.611066632,0.743989554,positive,0,1,1,0,intact,spiny,/api/v2/well_known_file_download/487660880,/api/v2/well_known_file_download/487622215,/api/v2/well_known_file_download/491376802,,,,,,Mus,musculus,469953288,Sst-IRES-Cre;Ai14-212983,,,
Rbp4-Cre_KL100,471141261,Rbp4-Cre_KL100;Ai14-180747.02.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,482.6305936754,7,20,0.8565420239,0.9926901601,dendrite-only,501146908,491202687,-43.1250038147,3.9278155439,0.015226471,0.1594293135,209.9999847412,14.5823818029,85.318,11.7208560913,91.2500023842,8.6697116667,-78.7921066284,7627,7921,/external/mousecelltypes/prod314/specimen_471141261/min_xy_471141261.aff,9046.5360514881,1307.0660988186,3174.9334463322,0.6578740996,positive,5,0,0,0,intact,spiny,/api/v2/well_known_file_download/487660858,/api/v2/well_known_file_download/487624978,/api/v2/well_known_file_download/491380421,,,,,,Mus,musculus,469953288,Chrna2-Cre_OE25;Ai14(BT)-279957,,,
Rbp4-Cre_KL100,471129934,Rbp4-Cre_KL100;Ai14-180747.06.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,502.5660288446,9,49,0.8802992455,0.8713137868,dendrite-only,495335493,491202812,-46.59375,3.5442468637,,0.0802083249,290,15.5961482196,64.985,15.3881665,94.3750739098,6.3994216667,-68.621887207,11298,11282,/external/mousecelltypes/prod324/specimen_471129934/min_xy_471129934.aff,7816,1044.3392393064,8156.4064689723,0.5342640012,positive,5,2,1,1,intact,spiny,/api/v2/well_known_file_download/487660964,/api/v2/well_known_file_download/487621398,/api/v2/well_known_file_download/491377475,,,,,,Mus,musculus,469953288,Nr5a1-Cre;Ai14-237786,,,
